date,open,high,low,close,volume,Name
2013-02-08,57.07,57.36,56.63,57.27,1461834,CME
2013-02-11,57.36,57.73,56.61,56.93,1936568,CME
2013-02-12,56.83,57.3699,56.69,57.2,1411875,CME
2013-02-13,57.11,57.27,56.6,57.26,2192521,CME
2013-02-14,57.21,58.46,57.06,58.44,1966297,CME
2013-02-15,58.32,58.8,57.98,58.52,2145305,CME
2013-02-19,58.72,59.19,58.58,58.95,1734150,CME
2013-02-20,59.1,59.12,57.855,58.02,2175383,CME
2013-02-21,57.96,58.12,57.5099,57.62,1310140,CME
2013-02-22,57.72,58.46,57.52,58.31,1290675,CME
2013-02-25,58.56,59.25,57.49,57.78,2423664,CME
2013-02-26,57.72,58.99,57.55,58.98,2874378,CME
2013-02-27,58.76,60.06,58.55,60.02,2786023,CME
2013-02-28,59.92,60.1,59.3,59.67,3366180,CME
2013-03-01,59.82,59.99,59.11,59.92,2452868,CME
2013-03-04,59.98,61.03,59.615,60.88,3092120,CME
2013-03-05,61.07,61.85,60.91,61.63,2488193,CME
2013-03-06,61.32,62.325,61.29,62.01,2167539,CME
2013-03-07,62.32,62.37,61.26,61.73,1391973,CME
2013-03-08,62.12,62.81,61.79,62.34,1527375,CME
2013-03-11,62.17,62.755,62.17,62.59,1956283,CME
2013-03-12,62.69,62.92,62.12,62.5,1934474,CME
2013-03-13,62.61,62.835,62.49,62.52,1315506,CME
2013-03-14,62.53,63.33,62.5,63.08,2156309,CME
2013-03-15,63.63,63.63,62.8,63.14,3074312,CME
2013-03-18,62.64,62.93,62.4072,62.58,1420899,CME
2013-03-19,62.66,62.66,61.04,61.14,2815682,CME
2013-03-20,61.6,62.2,61.06,62.03,2458585,CME
2013-03-21,61.84,62.1,60.9,60.93,1923548,CME
2013-03-22,61.15,61.63,60.59,61.62,1434244,CME
2013-03-25,61.92,61.99,61.0,61.29,1230374,CME
2013-03-26,61.37,61.72,61.17,61.56,1128008,CME
2013-03-27,61.03,61.39,60.67,61.36,1321228,CME
2013-03-28,61.46,61.58,60.78,61.41,1301883,CME
2013-04-01,61.99,61.99,60.66,60.93,1018322,CME
2013-04-02,60.0,61.095,59.91,60.6,2278853,CME
2013-04-03,60.42,60.56,59.97,60.04,1745610,CME
2013-04-04,60.26,60.4,59.845,60.01,1144914,CME
2013-04-05,59.37,60.62,58.51,59.44,2146039,CME
2013-04-08,59.29,60.25,59.145,60.25,1055908,CME
2013-04-09,60.27,60.4065,59.76,59.96,1129541,CME
2013-04-10,59.91,60.33,59.91,60.22,1181057,CME
2013-04-11,60.29,60.99,60.11,60.79,1664474,CME
2013-04-12,60.68,60.99,60.28,60.48,955515,CME
2013-04-15,60.32,60.75,58.81,58.84,1638038,CME
2013-04-16,59.23,59.645,58.93,59.45,1529532,CME
2013-04-17,59.0,59.29,58.64,58.73,1270882,CME
2013-04-18,58.95,59.35,58.36,58.53,1123570,CME
2013-04-19,58.93,59.15,58.51,59.01,1693034,CME
2013-04-22,59.09,60.55,58.93,60.28,1859361,CME
2013-04-23,60.51,60.58,59.54,59.86,2036272,CME
2013-04-24,60.02,60.51,59.79,60.17,737164,CME
2013-04-25,60.3,61.22,60.26,61.03,1327764,CME
2013-04-26,60.94,61.25,60.76,60.77,891532,CME
2013-04-29,61.01,61.25,60.67,60.84,1174686,CME
2013-04-30,60.8,61.1,60.56,60.86,1064760,CME
2013-05-01,60.84,60.98,60.08,60.13,1508539,CME
2013-05-02,60.07,60.45,58.62,60.4,1947467,CME
2013-05-03,60.67,61.26,60.32,60.64,1808695,CME
2013-05-06,60.6,61.21,60.56,60.96,1144295,CME
2013-05-07,61.04,61.24,60.42,60.48,1180232,CME
2013-05-08,60.14,60.95,59.68,60.7,1492814,CME
2013-05-09,60.53,61.2,60.5,60.76,855615,CME
2013-05-10,60.77,62.66,60.46,62.52,1875378,CME
2013-05-13,62.52,63.33,62.28,62.87,1218275,CME
2013-05-14,62.78,63.74,62.1801,63.71,1763116,CME
2013-05-15,63.67,64.44,63.08,64.04,1637317,CME
2013-05-16,63.73,64.665,63.59,64.23,1578041,CME
2013-05-17,64.22,65.33,64.115,65.17,1685376,CME
2013-05-20,64.78,65.735,64.75,65.26,1354114,CME
2013-05-21,64.95,65.2,64.2516,64.32,1758197,CME
